2025-01-14 01:05:36 LogWrapper init() ./logs/main.log
2025-01-14 01:05:36 Bot started with Trade Settings:
{'n_ma': 12, 'n_std': 2.0, 'maxspread': 0.04, 'mingain': 0.06, 'riskreward': 1.5}

2025-01-14 01:05:36 Bot started
2025-01-14 05:32:06 process_candles triggered:['GBPJPY']
2025-01-14 05:33:09 process_candles triggered:['GBPJPY']
2025-01-14 05:33:10 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.2555 sl:191.9996 tp:192.4255
2025-01-14 05:34:03 process_candles triggered:['GBPJPY']
2025-01-14 05:35:07 process_candles triggered:['GBPJPY']
2025-01-14 05:36:10 process_candles triggered:['GBPJPY']
2025-01-14 05:37:03 process_candles triggered:['GBPJPY']
2025-01-14 05:38:07 process_candles triggered:['GBPJPY']
2025-01-14 05:39:00 process_candles triggered:['GBPJPY']
2025-01-14 05:40:04 process_candles triggered:['GBPJPY']
2025-01-14 05:41:08 process_candles triggered:['GBPJPY']
2025-01-14 05:42:01 process_candles triggered:['GBPJPY']
2025-01-14 05:43:05 process_candles triggered:['GBPJPY']
2025-01-14 05:44:08 process_candles triggered:['GBPJPY']
2025-01-14 05:45:02 process_candles triggered:['GBPJPY']
2025-01-14 05:46:06 process_candles triggered:['GBPJPY']
2025-01-14 05:47:10 process_candles triggered:['GBPJPY']
2025-01-14 05:48:03 process_candles triggered:['GBPJPY']
2025-01-14 05:49:07 process_candles triggered:['GBPJPY']
2025-01-14 05:50:10 process_candles triggered:['GBPJPY']
2025-01-14 05:51:04 process_candles triggered:['GBPJPY']
2025-01-14 05:52:07 process_candles triggered:['GBPJPY']
2025-01-14 05:53:01 process_candles triggered:['GBPJPY']
2025-01-14 05:54:04 process_candles triggered:['GBPJPY']
2025-01-14 05:55:09 process_candles triggered:['GBPJPY']
2025-01-14 05:56:02 process_candles triggered:['GBPJPY']
2025-01-14 05:57:06 process_candles triggered:['GBPJPY']
2025-01-14 05:58:10 process_candles triggered:['GBPJPY']
2025-01-14 05:59:03 process_candles triggered:['GBPJPY']
2025-01-14 06:00:07 process_candles triggered:['GBPJPY']
2025-01-14 06:01:00 process_candles triggered:['GBPJPY']
2025-01-14 06:02:04 process_candles triggered:['GBPJPY']
2025-01-14 06:03:08 process_candles triggered:['GBPJPY']
2025-01-14 06:04:01 process_candles triggered:['GBPJPY']
2025-01-14 06:05:05 process_candles triggered:['GBPJPY']
2025-01-14 06:06:08 process_candles triggered:['GBPJPY']
2025-01-14 06:07:02 process_candles triggered:['GBPJPY']
2025-01-14 06:08:05 process_candles triggered:['GBPJPY']
2025-01-14 06:09:09 process_candles triggered:['GBPJPY']
2025-01-14 06:10:03 process_candles triggered:['GBPJPY']
2025-01-14 06:11:06 process_candles triggered:['GBPJPY']
2025-01-14 06:12:10 process_candles triggered:['GBPJPY']
2025-01-14 06:13:04 process_candles triggered:['GBPJPY']
2025-01-14 06:14:08 process_candles triggered:['GBPJPY']
2025-01-14 06:14:08 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.0908 sl:192.1969 tp:192.3483
2025-01-14 06:15:01 process_candles triggered:['GBPJPY']
2025-01-14 06:15:02 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.1018 sl:192.1671 tp:192.3368
2025-01-14 06:16:05 process_candles triggered:['GBPJPY']
2025-01-14 06:17:09 process_candles triggered:['GBPJPY']
2025-01-14 06:18:02 process_candles triggered:['GBPJPY']
2025-01-14 06:19:06 process_candles triggered:['GBPJPY']
2025-01-14 06:20:10 process_candles triggered:['GBPJPY']
2025-01-14 06:21:03 process_candles triggered:['GBPJPY']
2025-01-14 06:22:07 process_candles triggered:['GBPJPY']
2025-01-14 06:22:08 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.1067 sl:192.4801 tp:192.3023
2025-01-14 06:23:01 process_candles triggered:['GBPJPY']
2025-01-14 06:24:04 process_candles triggered:['GBPJPY']
2025-01-14 06:25:09 process_candles triggered:['GBPJPY']
2025-01-14 06:26:02 process_candles triggered:['GBPJPY']
2025-01-14 06:27:06 process_candles triggered:['GBPJPY']
2025-01-14 06:28:09 process_candles triggered:['GBPJPY']
2025-01-14 06:29:03 process_candles triggered:['GBPJPY']
2025-01-14 06:30:06 process_candles triggered:['GBPJPY']
2025-01-14 06:31:10 process_candles triggered:['GBPJPY']
2025-01-14 06:32:03 process_candles triggered:['GBPJPY']
2025-01-14 06:32:04 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.0807 sl:192.1857 tp:192.3202
2025-01-14 06:33:07 process_candles triggered:['GBPJPY']
2025-01-14 06:33:08 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.1029 sl:192.1419 tp:192.3134
2025-01-14 06:34:01 process_candles triggered:['GBPJPY']
2025-01-14 06:35:04 process_candles triggered:['GBPJPY']
2025-01-14 06:36:08 process_candles triggered:['GBPJPY']
2025-01-14 06:37:01 process_candles triggered:['GBPJPY']
2025-01-14 06:38:05 process_candles triggered:['GBPJPY']
2025-01-14 06:39:09 process_candles triggered:['GBPJPY']
2025-01-14 06:40:02 process_candles triggered:['GBPJPY']
2025-01-14 06:41:06 process_candles triggered:['GBPJPY']
2025-01-14 06:42:09 process_candles triggered:['GBPJPY']
2025-01-14 06:43:03 process_candles triggered:['GBPJPY']
2025-01-14 06:44:06 process_candles triggered:['GBPJPY']
2025-01-14 06:45:10 process_candles triggered:['GBPJPY']
2025-01-14 06:46:03 process_candles triggered:['GBPJPY']
2025-01-14 06:47:07 process_candles triggered:['GBPJPY']
2025-01-14 06:48:00 process_candles triggered:['GBPJPY']
2025-01-14 06:49:04 process_candles triggered:['GBPJPY']
2025-01-14 06:50:08 process_candles triggered:['GBPJPY']
2025-01-14 06:51:01 process_candles triggered:['GBPJPY']
2025-01-14 06:52:05 process_candles triggered:['GBPJPY']
2025-01-14 06:53:08 process_candles triggered:['GBPJPY']
2025-01-14 06:54:02 process_candles triggered:['GBPJPY']
2025-01-14 06:55:05 process_candles triggered:['GBPJPY']
2025-01-14 06:56:09 process_candles triggered:['GBPJPY']
2025-01-14 06:57:02 process_candles triggered:['GBPJPY']
2025-01-14 06:58:06 process_candles triggered:['GBPJPY']
2025-01-14 06:59:10 process_candles triggered:['GBPJPY']
2025-01-14 07:00:03 process_candles triggered:['GBPJPY']
2025-01-14 07:01:07 process_candles triggered:['GBPJPY']
2025-01-14 07:01:07 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.3384 sl:192.9061 tp:192.3421
2025-01-14 07:02:01 process_candles triggered:['GBPJPY']
2025-01-14 07:03:05 process_candles triggered:['GBPJPY']
2025-01-14 07:03:06 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.3843 sl:193.0447 tp:192.4042
2025-01-14 07:04:10 process_candles triggered:['GBPJPY']
2025-01-14 07:05:03 process_candles triggered:['GBPJPY']
2025-01-14 07:06:07 process_candles triggered:['GBPJPY']
2025-01-14 07:07:00 process_candles triggered:['GBPJPY']
2025-01-14 07:08:04 process_candles triggered:['GBPJPY']
2025-01-14 07:09:08 process_candles triggered:['GBPJPY']
2025-01-14 07:10:01 process_candles triggered:['GBPJPY']
2025-01-14 07:11:04 process_candles triggered:['GBPJPY']
2025-01-14 07:12:08 process_candles triggered:['GBPJPY']
2025-01-14 07:13:01 process_candles triggered:['GBPJPY']
2025-01-14 07:14:05 process_candles triggered:['GBPJPY']
2025-01-14 07:15:09 process_candles triggered:['GBPJPY']
2025-01-14 07:16:02 process_candles triggered:['GBPJPY']
2025-01-14 07:17:06 process_candles triggered:['GBPJPY']
2025-01-14 07:18:10 process_candles triggered:['GBPJPY']
2025-01-14 07:18:10 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.1181 sl:192.4628 tp:192.6596
2025-01-14 07:19:03 process_candles triggered:['GBPJPY']
2025-01-14 07:20:07 process_candles triggered:['GBPJPY']
2025-01-14 07:20:08 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.1467 sl:192.3902 tp:192.6347
2025-01-14 07:21:00 process_candles triggered:['GBPJPY']
2025-01-14 07:21:01 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.2399 sl:192.2086 tp:192.6084
2025-01-14 07:22:05 process_candles triggered:['GBPJPY']
2025-01-14 07:22:06 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.2821 sl:192.1075 tp:192.5776
2025-01-14 07:23:09 process_candles triggered:['GBPJPY']
2025-01-14 07:24:03 process_candles triggered:['GBPJPY']
2025-01-14 07:25:06 process_candles triggered:['GBPJPY']
2025-01-14 07:26:10 process_candles triggered:['GBPJPY']
2025-01-14 07:27:04 process_candles triggered:['GBPJPY']
2025-01-14 07:28:01 process_candles triggered:['GBPJPY']
2025-01-14 07:29:05 process_candles triggered:['GBPJPY']
2025-01-14 07:30:08 process_candles triggered:['GBPJPY']
2025-01-14 07:31:01 process_candles triggered:['GBPJPY']
